insert;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;15838;17756;4554;34934
200;57375;76555;23719;139856
300;128606;156942;37221;314778
400;217645;280309;71142;559679
500;332290;429443;119644;874580
600;493310;623244;143674;1.25943e+06
700;667910;859570;190419;1.7143e+06
800;881500;1.13985e+06;290763;2.23912e+06
900;1.10471e+06;1.41079e+06;287297;2.83395e+06
1000;1.42012e+06;1.76416e+06;450795;3.49869e+06
1100;1.73566e+06;2.1381e+06;488545;4.23348e+06
1200;2.02603e+06;2.56913e+06;575029;5.03829e+06
1300;2.3756e+06;2.95394e+06;730694;5.91296e+06
1400;2.77109e+06;3.43867e+06;806853;6.85772e+06
1500;3.17732e+06;3.95601e+06;902724;7.87246e+06
1600;3.656e+06;4.47802e+06;1.12751e+06;8.95715e+06
1700;4.09708e+06;5.02349e+06;1.30472e+06;1.01118e+07
1800;4.62373e+06;5.61638e+06;1.2773e+06;1.13366e+07
1900;5.13827e+06;6.28853e+06;1.44048e+06;1.26312e+07
2000;5.65529e+06;6.90907e+06;1.60576e+06;1.39958e+07
2100;6.27238e+06;7.65738e+06;1.8578e+06;1.54304e+07
2200;6.91222e+06;8.41009e+06;1.94022e+06;1.69351e+07
2300;7.61322e+06;9.20544e+06;2.11603e+06;1.85097e+07
2400;8.29868e+06;1.00438e+07;2.33694e+06;2.01543e+07
2500;8.93477e+06;1.08162e+07;2.65138e+06;2.18688e+07
2600;9.54831e+06;1.1713e+07;2.67332e+06;2.36533e+07
2700;1.03266e+07;1.27028e+07;2.95555e+06;2.55078e+07
2800;1.11453e+07;1.36129e+07;2.95228e+06;2.74323e+07
2900;1.19758e+07;1.45814e+07;3.32775e+06;2.94268e+07
3000;1.29543e+07;1.56537e+07;3.33017e+06;3.14912e+07
3100;1.37803e+07;1.66968e+07;3.69885e+06;3.36256e+07
3200;1.45961e+07;1.77568e+07;4.20958e+06;3.58302e+07
3300;1.53958e+07;1.89778e+07;4.29054e+06;3.81045e+07
3400;1.64339e+07;2.01267e+07;4.57019e+06;4.04488e+07
3500;1.75214e+07;2.12448e+07;4.54692e+06;4.28631e+07
3600;1.85224e+07;2.24745e+07;4.88421e+06;4.53475e+07
3700;1.95646e+07;2.36422e+07;6.01012e+06;4.79019e+07
3800;2.05482e+07;2.49335e+07;6.41104e+06;5.05261e+07
3900;2.16217e+07;2.62514e+07;5.96151e+06;5.32203e+07
4000;2.26493e+07;2.78458e+07;6.63557e+06;5.59845e+07
4100;2.374e+07;2.93799e+07;7.07276e+06;5.88187e+07
