shell;;;;
;0-5;0-4000;almost-sorted;sorted-descend
100;10100;10400;10200;8400
200;21200;47500;31100;31000
300;46800;110200;48400;43300
400;130000;142600;185700;43500
500;92200;134800;97000;178100
600;421000;149800;131800;65000
700;251400;166500;251000;89100
800;138000;238900;229600;88200
900;169800;289600;228300;201400
1000;166600;311700;248700;227300
1100;191500;326900;259100;276900
1200;197300;514200;315600;154000
1300;315700;763300;413600;160400
1400;241300;442000;340400;205100
1500;284000;685800;335200;233200
1600;320500;724300;462000;257900
1700;342200;544400;481800;447800
1800;281000;561000;624800;490400
1900;448200;650100;481400;588200
2000;360400;618400;502600;430200
2100;336600;855400;566000;279800
2200;469400;689100;645900;488000
2300;606100;1.2668e+06;531400;461300
2400;618100;904600;729900;303000
2500;376400;1.1062e+06;793500;523600
2600;442000;936400;685900;420800
2700;632300;1.0055e+06;803900;461600
2800;577400;983100;791400;721500
2900;470300;957000;781400;416600
3000;500000;1.0379e+06;749400;642900
3100;486200;1.0152e+06;922900;490700
3200;597800;1.7073e+06;859900;467800
3300;653500;1.3153e+06;1.3372e+06;861200
3400;538100;1.7493e+06;1.0116e+06;764600
3500;554900;1.2111e+06;950700;817500
3600;676900;1.4174e+06;1.4339e+06;615500
3700;666700;1.3584e+06;1.0931e+06;599200
3800;646100;1.7872e+06;1.109e+06;619400
3900;569500;1.5572e+06;998200;695300
4000;690800;1.5926e+06;1.2478e+06;925900
4100;1.076e+06;2.691e+06;1.7809e+06;570400
